episode,reward
0,0
100,0.46
200,0.49
300,0.44333333333333336
400,0.4575
500,0.434
600,0.42833333333333334
700,0.42714285714285716
800,0.4225
900,0.43444444444444447
1000,0.446
1100,0.45181818181818184
1200,0.45166666666666666
1300,0.44846153846153847
1400,0.45285714285714285
1500,0.44733333333333336
1600,0.448125
1700,0.44823529411764707
1800,0.4477777777777778
1900,0.45263157894736844
2000,0.4495
2100,0.45095238095238094
2200,0.4540909090909091
2300,0.45304347826086955
2400,0.4533333333333333
2500,0.4532
2600,0.4503846153846154
2700,0.4507407407407407
2800,0.45107142857142857
2900,0.45275862068965517
3000,0.45366666666666666
3100,0.45387096774193547
3200,0.4534375
3300,0.45454545454545453
3400,0.455
3500,0.4534285714285714
3600,0.45555555555555555
3700,0.4540540540540541
3800,0.4557894736842105
3900,0.45615384615384613
4000,0.45675
4100,0.4573170731707317
4200,0.45714285714285713
4300,0.4583720930232558
4400,0.4590909090909091
4500,0.4602222222222222
4600,0.4606521739130435
4700,0.46127659574468083
4800,0.46145833333333336
4900,0.46224489795918366
